#,securityParam,x1,x2,x3,bgvkeygenRtime,bgvencryptTime,bgvMultTime,bgvAddTime,bgvDecryptTime,bfvkeygenRtime,bfvencryptTime,bfvMultTime,bfvAddTime,bfvDecryptTime,ckkskeygenRtime,ckksencryptTime,ckksMultTime,ckksAddTime,ckksDecryptTime
0,8192,832,550,302,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
0,16384,832,550,302,62,13,42,1,2,56,7,111,0,3,54,10,34,0,6
0,32768,832,550,302,392,50,240,4,10,352,27,555,3,12,358,41,206,3,36
1,8192,644,150,952,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
1,16384,644,150,952,62,13,43,1,2,56,7,110,0,3,54,10,34,0,6
1,32768,644,150,952,392,50,242,5,10,352,27,551,3,12,364,39,206,3,36
2,8192,467,368,896,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
2,16384,467,368,896,61,12,43,1,2,56,7,110,0,3,55,10,36,0,6
2,32768,467,368,896,391,50,241,5,10,352,27,554,3,12,363,40,206,3,37
3,8192,97,71,12,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
3,16384,97,71,12,61,12,43,1,2,56,7,110,0,3,55,10,34,0,6
3,32768,97,71,12,391,50,242,4,10,351,27,553,3,12,351,39,206,3,37
4,8192,881,776,705,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
4,16384,881,776,705,61,12,43,1,2,56,7,110,0,3,55,10,33,0,6
4,32768,881,776,705,391,50,241,5,10,351,27,552,3,12,361,39,206,3,37
5,8192,876,388,582,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
5,16384,876,388,582,61,13,42,1,2,56,7,110,0,3,55,10,33,0,6
5,32768,876,388,582,392,50,241,5,10,353,27,553,3,12,355,39,206,3,37
6,8192,290,246,861,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
6,16384,290,246,861,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
6,32768,290,246,861,391,49,240,5,10,351,27,553,3,12,365,40,207,3,37
7,8192,72,781,24,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
7,16384,72,781,24,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
7,32768,72,781,24,392,49,240,5,10,352,27,551,3,12,363,40,206,3,37
8,8192,843,9,216,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
8,16384,843,9,216,62,12,43,1,2,56,7,110,0,3,55,10,33,0,6
8,32768,843,9,216,390,49,240,5,11,351,27,552,3,12,359,41,209,3,36
9,8192,953,783,878,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
9,16384,953,783,878,62,13,42,1,2,56,7,110,0,3,54,10,33,0,6
9,32768,953,783,878,390,49,240,5,10,351,27,551,3,12,358,40,206,3,37
10,8192,441,592,960,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
10,16384,441,592,960,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
10,32768,441,592,960,392,49,240,4,11,351,27,556,3,12,361,41,208,3,37
11,8192,131,89,397,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
11,16384,131,89,397,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
11,32768,131,89,397,391,50,240,5,10,351,27,550,3,12,364,39,206,3,37
12,8192,16,737,770,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
12,16384,16,737,770,62,13,42,1,2,56,7,110,0,3,54,10,33,0,6
12,32768,16,737,770,391,50,242,5,10,350,27,553,3,12,362,40,206,3,38
13,8192,781,120,865,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
13,16384,781,120,865,62,12,43,1,2,56,7,110,0,3,54,10,33,0,6
13,32768,781,120,865,391,49,239,4,11,351,27,550,3,12,367,40,206,3,37
14,8192,290,639,453,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
14,16384,290,639,453,62,13,43,1,2,55,7,110,0,3,55,10,34,0,6
14,32768,290,639,453,392,49,239,5,10,352,26,550,3,12,362,40,206,3,36
15,8192,787,855,602,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
15,16384,787,855,602,63,12,42,1,2,56,7,111,0,3,54,10,34,0,6
15,32768,787,855,602,390,49,240,5,11,351,27,554,3,12,359,41,205,3,37
16,8192,128,142,67,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
16,16384,128,142,67,62,12,42,1,2,56,7,110,0,3,55,10,33,0,6
16,32768,128,142,67,391,50,241,5,10,351,27,552,3,12,364,39,206,3,37
17,8192,410,113,386,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
17,16384,410,113,386,62,12,43,1,2,55,7,110,0,3,54,10,33,0,6
17,32768,410,113,386,396,49,241,5,11,350,27,551,3,12,363,39,206,3,37
18,8192,890,90,931,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
18,16384,890,90,931,62,12,42,1,2,56,7,110,0,3,56,10,33,0,6
18,32768,890,90,931,391,50,240,4,10,353,27,551,3,12,359,41,205,3,37
19,8192,600,872,966,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
19,16384,600,872,966,62,12,42,1,2,56,7,110,0,3,55,10,33,0,6
19,32768,600,872,966,390,50,244,5,10,351,26,551,3,12,362,40,206,3,37
20,8192,153,355,272,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
20,16384,153,355,272,62,12,42,1,2,56,7,110,0,3,57,10,33,0,5
20,32768,153,355,272,390,50,240,5,10,351,27,552,3,12,359,41,206,3,37
21,8192,947,435,753,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
21,16384,947,435,753,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
21,32768,947,435,753,390,49,240,5,10,351,27,551,3,12,363,41,206,3,37
22,8192,430,222,210,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
22,16384,430,222,210,62,12,42,1,2,55,7,110,0,3,55,10,33,0,6
22,32768,430,222,210,391,50,241,5,10,354,27,553,3,12,349,41,208,3,37
23,8192,676,814,711,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
23,16384,676,814,711,62,13,43,1,2,56,7,112,1,3,56,10,34,0,6
23,32768,676,814,711,392,50,244,5,10,350,28,552,3,12,365,39,206,3,37
24,8192,406,692,288,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
24,16384,406,692,288,62,13,43,1,2,56,7,111,0,3,55,10,34,0,6
24,32768,406,692,288,390,50,241,5,10,352,27,553,3,12,350,41,206,3,36
25,8192,322,65,896,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
25,16384,322,65,896,62,12,42,1,2,56,7,110,0,3,55,10,34,0,5
25,32768,322,65,896,390,49,240,5,10,351,27,552,3,12,363,41,206,3,37
26,8192,347,33,565,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
26,16384,347,33,565,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
26,32768,347,33,565,390,50,241,5,10,351,27,552,3,12,350,39,206,3,37
27,8192,427,690,55,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
27,16384,427,690,55,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
27,32768,427,690,55,398,49,240,4,11,359,26,552,3,12,362,41,206,3,37
28,8192,510,401,468,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
28,16384,510,401,468,62,13,43,1,2,56,7,110,0,3,54,10,33,0,6
28,32768,510,401,468,389,49,241,5,11,350,27,551,3,12,362,40,206,3,37
29,8192,45,351,166,10,3,8,0,0,9,2,23,0,0,9,2,5,0,0
29,16384,45,351,166,62,13,42,1,2,56,7,110,1,3,56,10,33,0,6
29,32768,45,351,166,390,51,241,5,10,351,27,552,3,12,368,39,206,3,37
30,8192,324,703,514,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
30,16384,324,703,514,61,13,43,1,2,56,7,111,0,3,55,10,35,0,6
30,32768,324,703,514,390,50,241,5,10,352,27,552,3,12,361,40,206,3,37
31,8192,159,132,882,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
31,16384,159,132,882,61,12,42,1,2,56,7,110,0,3,54,10,33,0,5
31,32768,159,132,882,390,49,240,5,10,351,27,554,3,12,363,41,206,3,36
32,8192,625,920,822,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
32,16384,625,920,822,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
32,32768,625,920,822,396,49,240,4,10,351,27,551,3,12,360,40,206,3,37
33,8192,943,544,145,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
33,16384,943,544,145,63,12,42,1,2,57,7,110,0,3,55,10,33,0,6
33,32768,943,544,145,397,49,239,5,10,354,27,550,3,12,362,41,207,3,37
34,8192,744,162,675,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
34,16384,744,162,675,62,12,42,1,2,56,7,110,0,3,55,10,33,0,6
34,32768,744,162,675,390,50,241,5,10,351,27,553,3,12,365,39,206,3,37
35,8192,80,320,740,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
35,16384,80,320,740,62,13,43,1,2,56,7,110,0,3,55,10,34,0,5
35,32768,80,320,740,399,50,241,5,10,360,27,554,3,12,362,40,206,3,37
36,8192,696,974,826,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
36,16384,696,974,826,62,12,42,1,2,56,7,111,0,3,55,10,33,0,6
36,32768,696,974,826,390,49,240,5,11,350,27,552,3,12,363,40,207,3,37
37,8192,153,831,865,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
37,16384,153,831,865,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
37,32768,153,831,865,391,50,241,5,10,355,27,553,3,12,363,40,206,3,36
38,8192,791,327,101,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
38,16384,791,327,101,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
38,32768,791,327,101,391,50,241,5,10,351,27,555,3,12,365,39,207,3,37
39,8192,17,576,86,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
39,16384,17,576,86,62,13,42,1,2,56,7,110,0,3,55,10,33,0,5
39,32768,17,576,86,390,50,241,5,10,350,27,552,3,12,363,40,206,3,37
40,8192,698,899,425,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
40,16384,698,899,425,62,12,42,1,2,56,7,113,0,3,55,10,33,0,5
40,32768,698,899,425,390,49,240,5,10,351,27,552,3,12,362,40,206,3,37
41,8192,800,899,471,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
41,16384,800,899,471,62,12,43,1,2,56,7,110,0,3,54,10,33,0,6
41,32768,800,899,471,390,49,240,4,11,351,27,552,3,12,362,41,206,3,37
42,8192,535,738,948,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
42,16384,535,738,948,62,13,43,1,2,56,7,110,0,3,54,10,33,0,5
42,32768,535,738,948,390,49,240,5,10,351,27,551,3,12,363,41,206,3,37
43,8192,2,399,221,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
43,16384,2,399,221,62,12,43,1,2,56,7,110,0,3,54,10,33,0,6
43,32768,2,399,221,390,50,240,5,10,352,27,552,3,12,362,40,206,3,36
44,8192,400,663,232,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
44,16384,400,663,232,62,12,43,1,2,56,7,110,0,3,54,10,33,0,6
44,32768,400,663,232,390,50,240,5,10,350,26,553,3,12,365,39,206,3,37
45,8192,439,807,656,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
45,16384,439,807,656,62,13,43,1,2,56,7,110,0,3,55,10,33,0,6
45,32768,439,807,656,392,51,240,4,11,351,27,551,3,12,359,41,205,3,36
46,8192,95,563,725,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
46,16384,95,563,725,62,13,43,1,2,56,7,110,0,3,56,10,33,0,6
46,32768,95,563,725,390,49,242,5,10,351,27,550,3,12,363,41,205,3,37
47,8192,38,293,638,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
47,16384,38,293,638,62,13,43,1,2,56,7,110,0,3,54,10,34,0,6
47,32768,38,293,638,396,50,242,4,10,351,27,558,3,12,360,40,206,3,37
48,8192,738,750,654,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
48,16384,738,750,654,62,13,43,1,2,55,7,110,0,3,55,10,33,0,6
48,32768,738,750,654,389,50,240,5,10,351,27,554,3,12,364,39,206,3,37
49,8192,301,995,244,10,3,7,0,0,9,2,22,0,0,9,3,5,0,1
49,16384,301,995,244,62,12,43,1,2,56,7,110,0,3,55,10,33,0,5
49,32768,301,995,244,395,49,239,5,11,355,27,551,3,12,363,41,205,3,36
50,8192,618,996,366,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
50,16384,618,996,366,62,13,43,1,2,56,7,110,0,3,54,10,34,0,6
50,32768,618,996,366,391,49,240,5,10,351,27,551,3,12,362,41,206,3,37
51,8192,296,105,309,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
51,16384,296,105,309,62,13,43,1,2,56,7,111,0,3,54,10,33,0,6
51,32768,296,105,309,390,50,241,5,10,351,27,554,3,12,363,40,206,3,38
52,8192,213,161,243,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
52,16384,213,161,243,62,12,43,1,2,56,7,110,0,3,55,10,33,0,6
52,32768,213,161,243,390,50,241,4,10,352,27,555,3,12,350,39,206,3,37
53,8192,230,693,407,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
53,16384,230,693,407,62,13,42,1,2,56,7,110,0,3,56,10,33,0,6
53,32768,230,693,407,390,50,241,4,10,351,27,550,3,12,363,40,207,3,36
54,8192,691,741,877,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
54,16384,691,741,877,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
54,32768,691,741,877,390,49,239,4,11,350,27,548,3,12,365,41,206,3,37
55,8192,969,779,469,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
55,16384,969,779,469,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
55,32768,969,779,469,390,50,241,4,10,354,27,552,3,12,350,39,206,3,37
56,8192,435,357,569,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
56,16384,435,357,569,62,13,43,1,2,56,7,110,0,3,55,10,33,0,5
56,32768,435,357,569,391,50,241,4,10,351,27,551,3,12,363,40,206,3,36
57,8192,392,542,776,10,3,7,0,0,9,2,22,0,0,9,3,5,0,0
57,16384,392,542,776,62,13,42,1,2,56,7,110,0,3,55,10,33,0,6
57,32768,392,542,776,390,50,241,5,10,350,27,553,3,12,363,41,207,3,37
58,8192,466,478,804,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
58,16384,466,478,804,62,13,42,1,2,56,7,110,0,3,54,10,33,0,6
58,32768,466,478,804,390,49,243,5,10,351,27,552,3,12,364,40,206,3,37
59,8192,985,330,974,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
59,16384,985,330,974,62,13,42,1,2,56,7,111,0,3,55,10,33,0,5
59,32768,985,330,974,395,50,241,5,10,356,27,556,3,12,364,40,206,3,37
60,8192,999,591,770,10,3,7,0,0,9,2,22,0,0,9,2,5,0,0
60,16384,999,591,770,62,13,42,1,2,56,7,110,0,3,55,10,34,0,6
60,32768,999,591,770,390,51,241,5,10,351,27,554,3,12,363,41,206,3,37
